image,source,source_version,missing_updates,urgency,status,fixed,debianbug,cve
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,unimportant,open,undefined,871698,CVE-2017-15088
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,unimportant,open,undefined,889684,CVE-2018-5709
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,not yet assigned,open,undefined,889685,CVE-2018-5710
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,not yet assigned,resolved,1.12.1+dfsg-19+deb8u5,917387,CVE-2018-20217
bayraktar/cassandra,libbsd,0.7.0-2,0,not yet assigned,open,undefined,undefined,CVE-2019-20367
bayraktar/cassandra,libbsd,0.7.0-2,0,not yet assigned,resolved,0.7.0-2+deb8u1,undefined,CVE-2016-2090
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,not yet assigned,resolved,1:1.3.1-12+deb8u1,902176,CVE-2018-11212
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,low,open,undefined,undefined,CVE-2019-2201
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,not yet assigned,resolved,1:1.3.1-12+deb8u1,902176,CVE-2018-11214
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,not yet assigned,resolved,1:1.3.1-12+deb8u1,902176,CVE-2018-11213
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,unimportant,open,undefined,878567,CVE-2017-15232
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,not yet assigned,resolved,1:1.3.1-12+deb8u2,741487,CVE-2018-14498
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,not yet assigned,resolved,1:1.3.1-12+deb8u1,902950,CVE-2018-1152
bayraktar/cassandra,libjpeg-turbo,1:1.3.1-12,0,not yet assigned,resolved,1:1.3.1-12+deb8u1,819969,CVE-2016-3616
bayraktar/cassandra,libpng,1.2.50-2+deb8u3,0,unimportant,open,undefined,undefined,CVE-2018-14048
bayraktar/cassandra,libpng,1.2.50-2+deb8u3,0,unimportant,open,undefined,undefined,CVE-2018-14550
bayraktar/cassandra,libpng,1.2.50-2+deb8u3,0,unimportant,open,undefined,undefined,CVE-2019-6129
bayraktar/cassandra,libx11,2:1.6.2-3+deb8u1,0,not yet assigned,resolved,2:1.6.2-3+deb8u2,undefined,CVE-2018-14598
bayraktar/cassandra,libx11,2:1.6.2-3+deb8u1,0,not yet assigned,resolved,2:1.6.2-3+deb8u2,undefined,CVE-2018-14599
bayraktar/cassandra,libx11,2:1.6.2-3+deb8u1,0,not yet assigned,resolved,2:1.6.2-3+deb8u2,undefined,CVE-2018-14600
bayraktar/cassandra,libxdmcp,1:1.1.1-1,0,not yet assigned,resolved,1:1.1.1-1+deb8u1,856399,CVE-2017-2625
bayraktar/cassandra,libxrender,1:0.9.8-1,0,low,open,undefined,840443,CVE-2016-7950
bayraktar/cassandra,libxrender,1:0.9.8-1,0,low,open,undefined,840443,CVE-2016-7949
bayraktar/cassandra,lvm2,2.02.111-2.2+deb8u1,0,not yet assigned,open,undefined,undefined,CVE-2020-8991
bayraktar/cassandra,ncurses,5.9+20140913-1+deb8u2,1,low,open,undefined,undefined,CVE-2018-19211
bayraktar/cassandra,ncurses,5.9+20140913-1+deb8u2,1,low,open,undefined,942401,CVE-2019-17594
bayraktar/cassandra,ncurses,5.9+20140913-1+deb8u2,1,low,open,undefined,942401,CVE-2019-17595
bayraktar/cassandra,ncurses,5.9+20140913-1+deb8u2,1,not yet assigned,resolved,5.9+20140913-1+deb8u3,882620,CVE-2017-16879
bayraktar/cassandra,nettle,2.7.1-5+deb8u2,0,not yet assigned,open,undefined,undefined,CVE-2018-16869
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,unimportant,open,undefined,858678,CVE-2017-7245
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,unimportant,open,undefined,undefined,CVE-2017-11164
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,not yet assigned,open,undefined,858230,CVE-2017-7186
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,unimportant,open,undefined,858679,CVE-2017-7246
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,not yet assigned,open,undefined,858683,CVE-2017-7244
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,unimportant,open,undefined,undefined,CVE-2017-16231
bayraktar/cassandra,pcre3,2:8.35-3.3+deb8u4,0,not yet assigned,open,undefined,787641,CVE-2015-3217
bayraktar/cassandra,procps,2:3.3.9-9,0,not yet assigned,resolved,2:3.3.9-9+deb8u1,899170,CVE-2018-1122
bayraktar/cassandra,procps,2:3.3.9-9,0,not yet assigned,resolved,2:3.3.9-9+deb8u1,899170,CVE-2018-1123
bayraktar/cassandra,procps,2:3.3.9-9,0,not yet assigned,resolved,2:3.3.9-9+deb8u1,899170,CVE-2018-1124
bayraktar/cassandra,procps,2:3.3.9-9,0,not yet assigned,resolved,2:3.3.9-9+deb8u1,899170,CVE-2018-1125
bayraktar/cassandra,procps,2:3.3.9-9,0,not yet assigned,resolved,2:3.3.9-9+deb8u1,899170,CVE-2018-1126
bayraktar/cassandra,python-defaults,2.7.9-1,0,unimportant,open,undefined,498899,CVE-2008-4108
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,unimportant,open,undefined,undefined,CVE-2019-18348
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u3,undefined,CVE-2019-9947
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,unimportant,open,undefined,undefined,CVE-2019-9674
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u3,undefined,CVE-2019-9948
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u3,undefined,CVE-2019-9740
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u3,921040,CVE-2019-5010
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u4,undefined,CVE-2018-20852
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u2,undefined,CVE-2018-1061
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u2,undefined,CVE-2018-1060
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u2,undefined,CVE-2017-1000158
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u3,924072,CVE-2019-9636
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,unimportant,open,undefined,undefined,CVE-2018-1000030
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,unimportant,open,undefined,undefined,CVE-2017-17522
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,open,undefined,undefined,CVE-2020-8492
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,unimportant,open,undefined,undefined,CVE-2016-1000110
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,open,undefined,undefined,CVE-2019-16935
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u3,921039,CVE-2018-14647
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u5,940901,CVE-2019-16056
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,not yet assigned,resolved,2.7.9-2+deb8u2,909673,CVE-2018-1000802
bayraktar/cassandra,python2.7,2.7.9-2+deb8u1,0,unimportant,open,undefined,undefined,CVE-2013-7040
bayraktar/cassandra,sensible-utils,0.0.9,0,not yet assigned,resolved,0.0.9+deb8u1,881767,CVE-2017-17512
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,resolved,3.8.7.1-1+deb8u3,undefined,CVE-2018-20346
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,resolved,3.8.7.1-1+deb8u4,867618,CVE-2017-10989
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,resolved,3.8.7.1-1+deb8u4,undefined,CVE-2017-2519
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,resolved,3.8.7.1-1+deb8u4,undefined,CVE-2017-2518
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,unimportant,open,undefined,873762,CVE-2017-13685
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,undefined,CVE-2019-16168
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,undefined,CVE-2019-19603
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,undefined,CVE-2019-20218
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,undefined,CVE-2019-5827
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,946612,CVE-2019-19645
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,resolved,3.8.7.1-1+deb8u4,893195,CVE-2018-8740
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,undefined,CVE-2018-20506
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,resolved,3.8.7.1-1+deb8u4,undefined,CVE-2017-2520
bayraktar/cassandra,sqlite3,3.8.7.1-1+deb8u2,0,not yet assigned,open,undefined,929775,CVE-2019-8457
bayraktar/cassandra,systemd,215-17+deb8u7,0,low,open,undefined,undefined,CVE-2018-16888
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u8,912005,CVE-2018-15686
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u8,undefined,CVE-2018-1049
bayraktar/cassandra,systemd,215-17+deb8u7,0,low,open,undefined,890779,CVE-2018-6954
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u11,undefined,CVE-2019-3815
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u8,912008,CVE-2018-15688
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u10,undefined,CVE-2019-6454
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u12,undefined,CVE-2017-18078
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,open,undefined,undefined,CVE-2019-20386
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u9,918841,CVE-2018-16864
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u12,undefined,CVE-2019-3842
bayraktar/cassandra,systemd,215-17+deb8u7,0,not yet assigned,resolved,215-17+deb8u9,918848,CVE-2018-16865
bayraktar/cassandra,systemd,215-17+deb8u7,0,unimportant,open,undefined,725357,CVE-2013-4392
bayraktar/cassandra,util-linux,2.25.2-6,0,not yet assigned,open,undefined,830802,CVE-2016-5011
bayraktar/cassandra,util-linux,2.25.2-6,0,unimportant,open,undefined,855943,CVE-2017-2616
bayraktar/cassandra,util-linux,2.25.2-6,0,unimportant,open,undefined,undefined,CVE-2015-5224
bayraktar/cassandra,util-linux,2.25.2-6,0,unimportant,open,undefined,798067,CVE-2015-5218
bayraktar/cassandra,util-linux,2.25.2-6,0,not yet assigned,open,undefined,815922,CVE-2016-2779
bayraktar/cassandra,zlib,1:1.2.8.dfsg-2,0,not yet assigned,resolved,1:1.2.8.dfsg-2+deb8u1,847270,CVE-2016-9841
bayraktar/cassandra,zlib,1:1.2.8.dfsg-2,0,not yet assigned,resolved,1:1.2.8.dfsg-2+deb8u1,847270,CVE-2016-9840
bayraktar/cassandra,zlib,1:1.2.8.dfsg-2,0,not yet assigned,resolved,1:1.2.8.dfsg-2+deb8u1,847275,CVE-2016-9843
bayraktar/cassandra,zlib,1:1.2.8.dfsg-2,0,not yet assigned,resolved,1:1.2.8.dfsg-2+deb8u1,847274,CVE-2016-9842
qbtrade/java,jbigkit,2.1-3.1,0,unimportant,open,undefined,869708,CVE-2017-9937
qbtrade/java,libbsd,0.8.2-1,1,not yet assigned,open,undefined,undefined,CVE-2019-20367
qbtrade/java,libxfixes,1:5.0.1-2,1,not yet assigned,resolved,1:5.0.1-2+deb8u1,840442,CVE-2016-7944
qbtrade/java,nettle,3.2-1,2,not yet assigned,open,undefined,undefined,CVE-2018-16869
qbtrade/java,nettle,3.2-1,2,not yet assigned,resolved,3.3-1,832983,CVE-2016-6489
qbtrade/java,patch,2.7.5-1,1,unimportant,open,undefined,undefined,CVE-2010-4651
qbtrade/java,patch,2.7.5-1,1,not yet assigned,resolved,2.7.5-1+deb8u2,932401,CVE-2019-13636
qbtrade/java,patch,2.7.5-1,1,not yet assigned,resolved,2.7.5-1+deb8u3,undefined,CVE-2019-13638
qbtrade/java,patch,2.7.5-1,1,not yet assigned,resolved,2.7.5-1+deb8u1,894993,CVE-2018-1000156
qbtrade/java,patch,2.7.5-1,1,unimportant,open,undefined,undefined,CVE-2018-6951
qbtrade/java,patch,2.7.5-1,1,not yet assigned,resolved,2.7.5-1+deb8u3,undefined,CVE-2018-20969
qbtrade/java,patch,2.7.5-1,1,unimportant,open,undefined,undefined,CVE-2016-10713
qbtrade/java,patch,2.7.5-1,1,unimportant,open,undefined,undefined,CVE-2018-6952
qbtrade/java,sensible-utils,0.0.9,0,not yet assigned,resolved,0.0.9+deb8u1,881767,CVE-2017-17512
versates/java,apt,1.4.8,0,unimportant,open,undefined,642480,CVE-2011-3374
versates/java,apt,1.4.8,0,not yet assigned,resolved,1.4.9,undefined,CVE-2019-3462
versates/java,bash,4.4-5,0,low,open,undefined,undefined,CVE-2019-18276
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-6323
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18483
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-6759
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-14940
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15024
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15025
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15022
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15023
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15020
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15021
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15225
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15996
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18484
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12799
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16830
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16831
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16832
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-1000876
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-7208
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12967
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2019-9075
versates/java,binutils,2.28-5,0,low,open,undefined,863674,CVE-2017-9040
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2019-9074
versates/java,binutils,2.28-5,0,low,open,undefined,863674,CVE-2017-9041
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-17794
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17125
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17124
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17126
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17121
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17123
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17122
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-9996
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2019-1010180
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2018-8945
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-12699
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-10372
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-10373
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2019-17451
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2019-17450
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18701
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18700
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-20623
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-14745
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-15938
versates/java,binutils,2.28-5,0,low,open,undefined,863674,CVE-2017-9039
versates/java,binutils,2.28-5,0,low,open,undefined,863674,CVE-2017-9038
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-17985
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-12700
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9746
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9743
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9742
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9745
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9744
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9747
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-14974
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9749
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9748
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-13757
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-9138
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-20712
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16829
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16828
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16827
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-16826
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9044
versates/java,binutils,2.28-5,0,low,open,undefined,863674,CVE-2017-9042
versates/java,binutils,2.28-5,0,low,open,undefined,863674,CVE-2017-9043
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-17080
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9752
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9753
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9750
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9751
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9756
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9754
versates/java,binutils,2.28-5,0,low,open,undefined,undefined,CVE-2017-9755
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-19932
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12458
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12459
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18606
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18607
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18605
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12452
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12453
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12450
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12451
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12456
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12457
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12454
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12455
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-7570
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2018-7569
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-18309
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12449
versates/java,binutils,2.28-5,0,not yet assigned,open,undefined,undefined,CVE-2017-12448
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-17359
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-20671
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-20673
versates/java,binutils,2.28-5,0,unimportant,open,undefined,undefined,CVE-2018-20002
